#TYPE System.Management.Automation.PSCustomObject
"User Status","Asset ID","WF Id","Modified"
,"AS658","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:06:13 PM"
,"AS659","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:06:19 PM"
"Registering Reuses","AS659","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:06:19 PM"
"Registering Reuses","AS660","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:06:24 PM"
"Registering Reuses","AS661","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:06:34 PM"
,"AS661","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:06:34 PM"
"Registering Reuses","AS662","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:06:40 PM"
,"AS663","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:06:46 PM"
"Registering Reuses","AS663","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:06:46 PM"
"Registering Reuses","AS664","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:06:55 PM"
,"AS664","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:06:55 PM"
,"AS665","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:07:06 PM"
"Registering Reuses","AS665","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:07:06 PM"
"Registering Reuses","AS666","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:07:20 PM"
"Registering Reuses","AS667","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:07:31 PM"
"Registering Reuses","AS668","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:07:58 PM"
"Registering Reuses","AS669","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:08:03 PM"
"Registering Reuses","AS670","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:08:10 PM"
"Registering Reuses","AS671","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:08:17 PM"
"Registering Reuses","AS672","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:08:26 PM"
"Registering Reuses","AS673","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:08:36 PM"
"Registering Reuses","AS674","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:08:40 PM"
"Registering Reuses","AS675","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:08:51 PM"
"Registering Reuses","AS676","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:08:58 PM"
"Registering Reuses","AS677","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:09:06 PM"
"Registering Reuses","AS678","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:09:12 PM"
"Registering Reuses","AS679","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:09:22 PM"
"Registering Reuses","AS680","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:09:27 PM"
